month,maximum_rainfall_in_a_day,year,month_only,no_of_rainy_days,total_rainfall
2019-11-01,73.4,2019,11,15.0,137.4
2019-12-01,74.2,2019,12,14.0,421.5
2020-01-01,38.0,2020,1,6.0,88.4
2020-02-01,23.8,2020,2,8.0,65.0
2020-03-01,47.4,2020,3,8.0,108.8
2020-04-01,51.8,2020,4,12.0,188.0
2020-05-01,53.8,2020,5,16.0,255.6
2020-06-01,41.0,2020,6,21.0,233.8
2020-07-01,30.4,2020,7,22.0,140.8
2020-08-01,34.6,2020,8,12.0,103.4
2020-09-01,32.8,2020,9,18.0,150.2
2020-10-01,19.0,2020,10,16.0,78.8
2020-11-01,64.2,2020,11,19.0,220.6
2020-12-01,58.2,2020,12,20.0,253.2
2021-01-01,210.6,2021,1,17.0,692.8
2021-02-01,0.6,2021,2,2.0,1.0
2021-03-01,38.0,2021,3,14.0,182.4
2021-04-01,83.8,2021,4,14.0,290.4
2021-05-01,49.8,2021,5,13.0,245.8
2021-06-01,23.8,2021,6,20.0,93.4
2021-07-01,75.0,2021,7,12.0,195.8
2021-08-01,71.4,2021,8,24.0,293.6
2021-09-01,63.4,2021,9,14.0,205.4
2021-10-01,59.6,2021,10,14.0,177.0
2021-11-01,47.8,2021,11,23.0,312.4
2021-12-01,46.8,2021,12,15.0,119.6
2022-01-01,50.0,2022,1,9.0,99.8
2022-02-01,29.6,2022,2,16.0,175.0
2022-03-01,36.2,2022,3,21.0,163.2
2022-04-01,58.8,2022,4,18.0,239.6
2022-05-01,44.6,2022,5,12.0,102.0
2022-06-01,59.4,2022,6,17.0,211.8
2022-07-01,27.8,2022,7,16.0,145.2
2022-08-01,32.4,2022,8,15.0,141.4
2022-09-01,38.2,2022,9,,
2022-10-01,38.8,2022,10,,
2022-11-01,53.0,2022,11,,
